"medcode"	"readcode"	"readterm"	"newcat"
"26481"	"E021z00"	"drug-induced paranoia or hallucinatory state nos"	"Drug misuse"
"26831"	"E255.00"	"nondependent opioid abuse"	"Drug misuse"
"27342"	"E012.11"	"alcoholic dementia nos"	"Alcohol misuse"
"27652"	"Eu11700"	"[x]men & beh dis due opioids: resid & late-onset psychot dis"	"Drug misuse"
"27670"	"L255300"	"maternal care for (suspected) damage to fetus from alcohol"	"Alcohol misuse"
"27960"	"E240300"	"opioid dependence in remission"	"Drug misuse"
"28150"	"E250z00"	"nondependent alcohol abuse nos"	"Alcohol misuse"
"28642"	"13c5.00"	"substance misuse increased"	"Drug misuse"
"28766"	"13cH.00"	"persistent substance misuse"	"Drug misuse"
"28780"	"Eu10211"	"[x]alcohol addiction"	"Alcohol misuse"
"2925"	"F375.00"	"alcoholic polyneuropathy"	"Alcohol misuse"
"29446"	"E24z.00"	"drug dependence nos"	"Drug misuse"
"29691"	"8G32.00"	"aversion therapy - alcoholism"	"Alcohol misuse"
"29783"	"E02y000"	"drug-induced delirium"	"Drug misuse"
"30162"	"Eu10513"	"[x]alcoholic paranoia"	"Alcohol misuse"
"30404"	"E015.00"	"alcoholic paranoia"	"Alcohol misuse"
"30460"	"Z4B1.00"	"alcoholism counselling"	"Alcohol misuse"
"30465"	"9N4i.00"	"dna - did not attend substance misuse clinic"	"Drug misuse"
"30481"	"Eu55.00"	"[x]abuse of non-dependence-producing substances"	"Drug misuse"
"30604"	"F25B.00"	"alcohol-induced epilepsy"	"Alcohol misuse"
"30679"	"8BAX.00"	"drug dependence home detoxification"	"Drug misuse"
"30695"	"136T.00"	"harmful alcohol use"	"Alcohol misuse"
"30711"	"ZV11500"	"[v]personal history of drug abuse by injection"	"Drug misuse"
"31213"	"9HC..00"	"substance misuse monitoring"	"Drug misuse"
"31443"	"E231.00"	"chronic alcoholism"	"Alcohol misuse"
"31569"	"E250300"	"nondependent alcohol abuse in remission"	"Alcohol misuse"
"31742"	"F394100"	"alcoholic myopathy"	"Alcohol misuse"
"3216"	"J611.00"	"acute alcoholic hepatitis"	"Alcohol misuse"
"32653"	"8BAW.00"	"drug dependence self detoxification"	"Drug misuse"
"32887"	"E245.00"	"hallucinogen dependence"	"Drug misuse"
"32927"	"Eu10800"	"[x]alcohol withdrawal-induced seizure"	"Alcohol misuse"
"32964"	"66e0.00"	"alcohol abuse monitoring"	"Alcohol misuse"
"33462"	"E243z00"	"cannabis drug dependence nos"	"Drug misuse"
"33635"	"E231z00"	"chronic alcoholism nos"	"Alcohol misuse"
"33774"	"E246200"	"glue sniffing dependence, episodic"	"Drug misuse"
"33838"	"E259z00"	"nondependent mixed drug abuse nos"	"Drug misuse"
"33942"	"E242z00"	"cocaine drug dependence nos"	"Drug misuse"
"34115"	"67H3.00"	"lifestyle advice regarding drug misuse"	"Drug misuse"
"34249"	"Eu11200"	"[x]mental and behav dis due to use opioids: dependence syndr"	"Drug misuse"
"34398"	"9k5..00"	"drug misuse - enhanced services administration"	"Drug misuse"
"35286"	"13c6.00"	"substance misuse decreased"	"Drug misuse"
"35404"	"13c8.00"	"reduced drugs misuse"	"Drug misuse"
"36223"	"E241.16"	"sedative dependence"	"Drug misuse"
"36241"	"Eu11300"	"[x]mental and behav dis due to use opioids: withdrawal state"	"Drug misuse"
"36296"	"E230z00"	"acute alcoholic intoxication in alcoholism nos"	"Alcohol misuse"
"3635"	"E252.00"	"nondependent cannabis abuse"	"Drug misuse"
"36687"	"SLH3.00"	"alcohol deterrent poisoning"	"Alcohol misuse"
"36748"	"F11x011"	"alcoholic encephalopathy"	"Alcohol misuse"
"37568"	"Eu11100"	"[x]mental and behav dis due to use of opioids: harmful use"	"Drug misuse"
"37605"	"E231.11"	"dipsomania"	"Alcohol misuse"
"37691"	"Eu10712"	"[x]chronic alcoholic brain syndrome"	"Alcohol misuse"
"37946"	"E012000"	"chronic alcoholic brain syndrome"	"Alcohol misuse"
"38029"	"13cB.00"	"misuses drugs orally"	"Drug misuse"
"38034"	"E240000"	"unspecified opioid dependence"	"Drug misuse"
"38061"	"1B1c.00"	"alcohol induced hallucinations"	"Alcohol misuse"
"38072"	"E246000"	"glue sniffing dependence, unspecified"	"Drug misuse"
"39327"	"Eu10200"	"[x]mental and behav dis due to use alcohol: dependence syndr"	"Alcohol misuse"
"39799"	"Eu10600"	"[x]mental and behav dis due to use alcohol: amnesic syndrome"	"Alcohol misuse"
"39983"	"E252100"	"nondependent cannabis abuse, continuous"	"Drug misuse"
"40530"	"E230000"	"acute alcoholic intoxication, unspecified, in alcoholism"	"Alcohol misuse"
"40536"	"E255000"	"nondependent opioid abuse, unspecified"	"Drug misuse"
"40781"	"E247z00"	"other specified drug dependence nos"	"Drug misuse"
"41039"	"13cF.00"	"preoccupied with substance misuse"	"Drug misuse"
"41473"	"L183.00"	"drug dependence in pregnancy, childbirth and the puerperium"	"Drug misuse"
"41920"	"E011z00"	"alcohol amnestic syndrome nos"	"Alcohol misuse"
"41983"	"Z191.00"	"alcohol detoxification"	"Alcohol misuse"
"42140"	"E252000"	"nondependent cannabis abuse, unspecified"	"Drug misuse"
"42456"	"Eu11000"	"[x]mental & behav dis due to use opioids: acute intoxication"	"Drug misuse"
"42649"	"8BAc.00"	"substance misuse management stopped - self withdrawal"	"Drug misuse"
"42923"	"E243100"	"cannabis dependence, continuous"	"Drug misuse"
"43075"	"E240100"	"continuous opioid dependence"	"Drug misuse"
"43193"	"E231000"	"unspecified chronic alcoholism"	"Alcohol misuse"
"44991"	"E243300"	"cannabis dependence in remission"	"Drug misuse"
"4500"	"E011000"	"korsakov's alcoholic psychosis"	"Alcohol misuse"
"4506"	"J153.00"	"alcoholic gastritis"	"Alcohol misuse"
"45169"	"Eu10y00"	"[x]men & behav dis due to use alcohol: oth men & behav dis"	"Alcohol misuse"
"45550"	"9HC2.00"	"substance misuse clinical management plan agreed"	"Drug misuse"
"45997"	"E021.00"	"drug-induced paranoia or hallucinatory states"	"Drug misuse"
