"medcodeid"	"term"	"originalreadcode"	"snomedctconceptid"	"snomedctdescriptionid"	"release"	"readcode"	"newcat"
"397201000006116"	"[x]men & behav dis due alcoh: resid & late-onset psychot dis"	"Eu107"	"42344001"	"70655012"	""	"Eu10700"	"Alcohol misuse"
"397211000006118"	"[x]men & behav dis due alcohl: withdrawl state with delirium"	"Eu104"	"8635005"	"15243013"	""	"Eu10400"	"Alcohol misuse"
"397231000006112"	"[x]men & behav dis due opioid: withdrawl state with delirium"	"Eu114"	"91388009"	"151411015"	""	"Eu11400"	"Drug misuse"
"397241000006119"	"[x]men & behav dis due to use alcohol: oth men & behav dis"	"Eu10y"	"29212009"	"48886010"	""	"Eu10y00"	"Alcohol misuse"
"397261000006115"	"[x]men & behav dis due to use opioids: oth men & behav dis"	"Eu11y"	"14784000"	"25116012"	""	"Eu11y00"	"Drug misuse"
"397431000006111"	"[x]ment & behav dis due use alcohol: unsp ment & behav dis"	"Eu10z"	"91388009"	"151411015"	""	"Eu10z00"	"Alcohol misuse"
"397451000006116"	"[x]ment & behav dis due use opioids: unsp ment & behav dis"	"Eu11z"	"91388009"	"151411015"	""	"Eu11z00"	"Drug misuse"
"397511000006116"	"[x]ment/behav dis due use hallucinogens: unsp ment/behav dis"	"Eu16z"	"91388009"	"151411015"	""	"Eu16z00"	"Drug misuse"
"397561000006118"	"[x]mental & behav dis due hallucinogens: acute intoxicatn"	"Eu160"	"91388009"	"151411015"	""	"Eu16000"	"Drug misuse"
"397621000006111"	"[x]mental & behav dis due to use alcohol: psychotic disorder"	"Eu105"	"42344001"	"70655012"	""	"Eu10500"	"Alcohol misuse"
"397651000006119"	"[x]mental & behav dis due to use opioids: acute intoxication"	"Eu110"	"77721001"	"128993019"	""	"Eu11000"	"Drug misuse"
"397661000006117"	"[x]mental & behav dis due to use opioids: psychotic disorder"	"Eu115"	"943071000000104"	"2412771000000116"	""	"Eu11500"	"Drug misuse"
"397741000006110"	"[x]mental and behav dis due hallucinogens: withdrawal state"	"Eu163"	"91388009"	"151411015"	""	"Eu16300"	"Drug misuse"
"397771000006119"	"[x]mental and behav dis due to hallucinogens: dependence syn"	"Eu162"	"38247002"	"64025010"	""	"Eu16200"	"Drug misuse"
"397791000006118"	"[x]mental and behav dis due to use alcohol: amnesic syndrome"	"Eu106"	"73097000"	"121405015"	""	"Eu10600"	"Alcohol misuse"
